Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,HomeScore,AwayScore,HomeXg,AwayXg,SimulatedHomeProbability,SimulatedDrawProbability,SimulatedAwayProbability,538HomeProbability,538DrawProbability,538AwayProbability,ProbabilityOfGame,DatabaseGameId,FinalResult,HomeTeamAveragePoints,HomeTeamAvgPointsLast5,AwayTeamAveragePoints,AwayTeamAveragePointsLast5,AwayTeamPointsAgainstOpponentLast2Seasons,HomeTeamAverageGoals,AwayTeamAverageGoals,HomeTeamAvgXgFor,AwayTeamAvgXgFor,HomeTeamAvgXgAgainst,AwayTeamAvgXgAgainst,HomeTeamFormXgFor,AwayTeamFormXgFor
1.9,3.6,4.5,1,0,0.270313,0.566845,0.144490765651585,0.50180009771172,0.35370913663533,0.44,0.2816,0.2784,1,3670,0,1.375,1.6,0.375,0.6,1.5,1.125,0.25,1.332754875,1.0839635,1.0545705,2.118646375,-0.189582012987845,0.024103511676025
2.14,3.5,3.6,1,2,1.60117,0.357172,0.687478775818893,0.234067636084646,0.078453451853751,0.4984,0.26,0.2416,1,3671,2,1,0.8,0.5,0.8,1,1.125,0.5,0.915929625,0.68651425,1.8885345,1.656448,0.103173131881278,-0.420106872717721
2.89,3.25,2.7,1,2,0.559618,1.80814,0.108155891396075,0.215341153328638,0.6765024703228,0.3762,0.2901,0.3337,1,3672,2,1,0.8,0.75,0.6,2.25,0.625,1.25,0.832261875,1.09664875,1.400474,1.2331885,-0.22014263709368,-0.160948547744315
1.83,3.39,5.25,1,0,2.02288,0.504128,0.734157848386871,0.184655056236376,0.081185562696437,0.5021,0.2883,0.2096,1,3673,0,1.125,0.8,1.25,0.6,1,0.875,0.875,1.032767875,0.902702,1.251120375,0.95199825,-0.228613428067453,-0.468093971914237
4.75,3.89,1.8,2,5,0.810989,3.86029,0.037509632226953,0.071353324435543,0.890459686007181,0.2793,0.2452,0.4754,1,3675,2,1,0.8,1.625,2,2.25,0.625,1.5,0.9625065,1.6803405,1.139681875,1.122875,-0.165012448321533,0.400033161831229
2.2,3.6,3.39,4,1,2.62043,0.667771,0.790786748612602,0.13740156448156,0.071791817759739,0.4903,0.253,0.2566,1,3676,0,2.125,2.6,1.625,1.2,1.5,1.875,1.625,1.71793125,2.06466575,0.561733875,1.188278375,0.364738815279715,0.815056564972796
2.1,3.39,3.89,1,0,0.943496,1.08708,0.310376984034381,0.304586471769487,0.385036541666627,0.4432,0.2717,0.2852,1,3677,0,2.22222222222222,2,2.22222222222222,2.6,1.5,2.44444444444444,2.11111111111111,2.01136255555556,1.81820888888889,0.93382,0.573515777777778,0.163237785502189,0.631592017709786
1.19,8,15,2,1,2.37777,0.8355,0.716473419501006,0.169762145917382,0.113756716604558,0.7642,0.161,0.0748,1,3678,0,1.77777777777778,2,0.888888888888889,0.8,0.75,1.88888888888889,0.666666666666667,1.92255711111111,0.801968111111111,1.088221,1.44577022222222,0.980176902623422,-0.33349960282026
2.54,3.2,3.1,2,2,2.15555,0.742845,0.698844463817293,0.185636312389538,0.115516313073632,0.4416,0.2749,0.2835,1,3679,1,0.333333333333333,0.6,0.888888888888889,1,2.5,0.222222222222222,0.888888888888889,1.02650588888889,0.856322888888889,1.913276,1.18857777777778,-0.103853741242981,-0.420646511403547
12,6.25,1.28,2,3,1.11852,2.77085,0.12739704667274,0.153626443214584,0.71894263840528,0.0899,0.1713,0.7388,1,3680,2,1.11111111111111,0.6,2.77777777777778,3,3,0.777777777777778,3.55555555555556,0.858416,2.83567555555556,1.07098511111111,0.568105555555556,-0.537818572685678,1.84118621043374
